Year,Month,Inflation_Rate,Crude Oil Price,Production,Crude Oil Export,CPI_Food,CPI_Energy,CPI_Health,CPI_Transport,CPI_Communication,CPI_Education
2008,1,8.6,94.26,2.17,1.72,75.53443079,84.612846,83.86313858,86.53003755,83.12944045,75.2844657
2008,2,8,98.15,2.08,1.63,75.15418502,85.23163236,83.3658912,88.35523571,82.88981376,75.45761873
2008,3,7.8,103.73,2.06,1.61,78.24252261,83.25151603,86.08299296,84.37630371,81.89347122,74.82684697
2008,4,8.2,116.73,1.96,1.51,79.43426849,84.34883049,89.44533239,88.60033375,93.93786522,73.66424802
2008,5,9.7,126.57,2.05,1.6,80.78367725,85.57402747,90.54046055,87.93283271,97.55328541,74.88044195
2008,6,12,138.74,2.02,1.57,84.49802921,88.38744276,91.62374948,88.26658323,96.46865935,78.40122032
2008,7,14,137.74,2.13,1.68,86.70994667,90.7965843,93.47658794,89.65894869,97.28423088,80.87483509
2008,8,12.4,115.84,2.11,1.66,87.71620682,92.51681036,92.42289706,88.61597831,97.29263884,83.70300132
2008,9,13,103.82,2.17,1.72,88.45351264,94.10090343,92.31634405,88.29265749,97.73405642,83.08872032
2008,10,14.7,75.31,2.26,1.81,88.01762115,93.29235593,93.25164269,88.77763872,97.28843486,84.65534301
2008,11,14.8,55.51,2.14,1.69,88.1196383,92.00528031,94.17510211,89.16875261,97.12027578,84.93156332
2008,12,15.1,45.87,2.04,1.59,88.64363552,93.46149086,96.05161901,90.86357947,97.10345987,87.59069921
2009,1,14,44.95,2.03,1.58,89.45977278,92.27754631,97.14674717,91.2181894,97.07823601,88.27918865
2009,2,14.6,46.52,2.06,1.61,90.21562717,92.61169094,98.61481087,90.22736754,97.09505192,88.09366755
2009,3,14.4,49.7,2.07,1.62,90.94365871,92.55393754,99.01142485,90.96266166,97.08664397,89.91177441
2009,4,13.3,51.16,1.86,1.41,91.62068166,92.89633266,101.0951282,94.35753025,97.09084794,89.31810686
2009,5,13.2,60.02,2.22,1.77,93.49872479,94.34016748,99.15349553,95.96370463,97.09084794,92.26170844
2009,6,11.2,72.24,2.17,1.72,95.5993508,96.27490615,100.106553,94.04463913,97.09084794,92.5667876
